bidding_time,pers_lowest_price,pers_average_price,comp_lowest_price,comp_average_price,sort
2012/8/1,10000,22822,10000,25515,1
2012/9/1,10000,14138,10000,15978,2
2012/10/1,10000,11067,10000,12674,3
2012/11/1,10000,10779,10000,12575,4
2012/12/1,10000,10955,10000,12303,5
2013/1/1,10000,10854,10000,12583,6
2013/2/1,10000,10573,10000,11762,7
2013/3/1,10000,10585,10000,11688,8
2013/4/1,10000,10998,10000,12017,9
2013/5/1,11600,12627,10000,12548,10
2013/6/1,14000,15743,10000,13117,11
2013/7/1,18700,20631,12500,14789,12
2013/8/1,23900,26599,15100,17385,13
2013/9/1,10000,30802,18000,20643,14
2013/10/1,10000,16384,10000,19510,15
2013/11/1,10000,11813,10000,14304,16
2013/12/1,10700,11959,10000,12958,17
2014/1/1,11500,12541,10000,12601,18
2014/2/1,11600,12777,10000,12494,19
2014/3/1,12300,13085,10300,12203,20
2014/4/1,13100,14074,10800,12452,21
2014/5/1,14500,15391,11000,12902,22
2014/6/1,16000,17024,10000,13134,23
2014/7/1,14800,18310,10000,12845,24
2014/8/1,10000,16654,10000,12375,25
2014/9/1,10000,12382,10000,11997,26
2014/10/1,10000,11442,10000,11836,27
2014/11/1,10000,11207,10000,11614,28
2014/12/1,10300,11421,10000,11604,29
2015/1/1,12000,13137,10000,11882,30
2015/2/1,13200,14331,10000,12391,31
2015/3/1,14500,15436,10000,11883,32
2015/4/1,16800,17798,10000,11593,33
2015/5/1,20200,21506,10000,11604,34
2015/6/1,26000,27672,10000,11822,35
2015/7/1,35000,37805,10000,12152,36
2015/8/1,10000,36231,10000,11878,37
2015/9/1,13500,16886,10000,11590,38
2015/10/1,16000,17487,10000,11254,39
2015/11/1,19000,20609,10000,11811,40
2015/12/1,24600,27077,10000,12009,41
2016/1/1,21000,25727,10000,12106,42
2016/2/1,19500,21884,10000,11560,43
2016/3/1,21100,23315,10000,11513,44
2016/4/1,23800,25701,10000,11496,45
2016/5/1,25000,27127,10000,11186,46
2016/6/1,23400,28541,10000,11420,47
2016/7/1,10100,24324,10000,11355,48
2016/8/1,15100,17330,10000,11114,49
2016/9/1,18100,19614,10000,11277,50
2016/10/1,19500,21551,10000,11269,51
2016/11/1,18600,22300,10000,11427,52
2016/12/1,15300,20591,10000,10905,53
2017/1/1,15100,17508,10000,11093,54
2017/2/1,15900,17419,10000,11114,55
2017/3/1,17300,18358,10000,10945,56
2017/4/1,18900,20127,10000,11061,57
2017/5/1,21500,22996,10000,11063,58
2017/6/1,23900,25498,10000,11136,59
2017/7/1,25000,26668,10100,11170,60
2017/8/1,26800,28561,10800,11663,61
2017/9/1,28800,30535,11800,15659,62
2017/10/1,30000,32449,13800,18038,63
2017/11/1,30700,34046,16800,18982,64
2017/12/1,18000,32312,24000,26123,65
2018/1/1,21000,25213,28000,30832,66
2018/2/1,22800,24560,32200,34718,67
2018/3/1,25300,26939,39100,41653,68
2018/4/1,32100,34455,51000,56158,69
